horas,pago,tabelado
4.0,1130.37,1339.58
4.0,964.3248503,1339.58
4.0,964.885101,1339.58
4.0,992.3709998,1339.58
4.0,1173.91,1339.58
4.0,1023.957934,1339.58
5.0,1137.17,1503.005
6.0,1144.53,1666.43
6.0,1115.85,1666.43
6.0,1530.63,1666.43
7.5,1283.6,1822.4675
8.0,1613.13,1874.48
8.0,1735.0,1874.48
8.0,1869.67,1874.48
8.0,1568.16,1874.48
9.0,1734.3,2094.475
8.0,1727.51,1874.48
10.0,1510.15,2314.47
10.0,1842.94,2314.47
10.0,1732.01,2314.47
10.0,1557.85,2314.47
10.0,2163.41,2314.47
10.0,1782.43,2314.47
10.0,1712.26,2314.47
10.0,1828.16,2314.47
10.0,2163.41,2314.47
10.0,1732.01,2314.47
10.0,1741.12,2314.47
10.0,1732.01,2314.47
10.0,1925.43,2314.47
10.5,1624.49,2407.0499999999997
10.5,1624.49,2407.0499999999997
11.0,1834.96,2499.63
11.0,1700.0,2499.63
11.5,1803.85,2592.21
12.0,1634.7,2684.79
12.5,1373.66,2684.79
